,Id,protoform,DoT,DoS,DoF,symptom
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_fband0-250_sma-related features at low level.",1.0,0.7166666666666667,0.039681434496051694,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_fband0-250_sma-related features at medium level.",0.0,0.6933333333333334,0.039681434496051694,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_fband0-250_sma-related features at high level.",0.0,0.93,0.039681434496051694,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_fband0-250_sma-related features at low level.",1.0,0.013333333333333334,0.002445785828451567,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_fband0-250_sma-related features at medium level.",0.0,0.0,0.002445785828451567,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_fband0-250_sma-related features at high level.",0.0,0.0,0.002445785828451567,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_fband0-650_sma-related features at low level.",0.0,0.9,0.8997916740816171,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_fband0-650_sma-related features at medium level.",0.0,0.65,0.8997916740816171,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_fband0-650_sma-related features at high level.",0.0,0.7066666666666667,0.8997916740816171,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_fband0-650_sma-related features at low level.",0.0,0.9033333333333333,0.07956485628753794,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_fband0-650_sma-related features at medium level.",0.0,0.6566666666666666,0.07956485628753794,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_fband0-650_sma-related features at high level.",1.0,0.7366666666666667,0.07956485628753794,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_fband0-650_sma-related features at low level.",0.0,0.006666666666666667,0.017310136297511314,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_fband0-650_sma-related features at medium level.",0.0,0.006666666666666667,0.017310136297511314,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_fband0-650_sma-related features at high level.",1.0,0.04,0.017310136297511314,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_spectralRollOff25_0_sma-related features at low level.",0.0,0.24333333333333335,0.4022363618648007,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_spectralRollOff25_0_sma-related features at medium level.",0.0,0.24333333333333335,0.4022363618648007,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_spectralRollOff25_0_sma-related features at high level.",1.0,0.38333333333333336,0.4022363618648007,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_spectralRollOff25_0_sma-related features at low level.",0.0,0.05,0.03354575037059798,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_spectralRollOff25_0_sma-related features at medium level.",0.0,0.05,0.03354575037059798,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_spectralRollOff25_0_sma-related features at high level.",0.0,0.03333333333333333,0.03354575037059798,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_spectralRollOff25_0_sma-related features at low level.",1.0,0.57,0.5608845544312678,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_spectralRollOff25_0_sma-related features at medium level.",0.0,0.3233333333333333,0.5608845544312678,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_spectralRollOff25_0_sma-related features at high level.",0.0,0.13333333333333333,0.5608845544312678,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_spectralRollOff50_0_sma-related features at low level.",1.0,0.35,0.3358852095031112,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_spectralRollOff50_0_sma-related features at medium level.",0.0,0.16666666666666666,0.3358852095031112,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_spectralRollOff50_0_sma-related features at high level.",0.0,0.09333333333333334,0.3358852095031112,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_spectralRollOff50_0_sma-related features at low level.",0.0,0.05333333333333334,0.02583159967310621,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_spectralRollOff50_0_sma-related features at medium level.",1.0,0.056666666666666664,0.02583159967310621,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_spectralRollOff50_0_sma-related features at high level.",0.0,0.04666666666666667,0.02583159967310621,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_spectralRollOff50_0_sma-related features at low level.",0.0,0.17666666666666667,0.6349498574904494,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_spectralRollOff50_0_sma-related features at medium level.",0.0,0.33666666666666667,0.6349498574904494,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_spectralRollOff50_0_sma-related features at high level.",1.0,0.5433333333333333,0.6349498574904494,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_spectralRollOff75_0_sma-related features at low level.",1.0,0.3,0.2910737017527054,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_spectralRollOff75_0_sma-related features at medium level.",0.0,0.08666666666666667,0.2910737017527054,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_spectralRollOff75_0_sma-related features at high level.",0.0,0.0,0.2910737017527054,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_spectralRollOff75_0_sma-related features at low level.",1.0,0.03,0.013070914809237355,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_spectralRollOff75_0_sma-related features at medium level.",1.0,0.03,0.013070914809237355,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_spectralRollOff75_0_sma-related features at high level.",0.0,0.0,0.013070914809237355,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_spectralRollOff75_0_sma-related features at low level.",0.0,0.20333333333333334,0.6925220501047239,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_spectralRollOff75_0_sma-related features at medium level.",0.0,0.42,0.6925220501047239,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_spectralRollOff75_0_sma-related features at high level.",0.6383674456674594,0.49666666666666665,0.6925220501047239,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_spectralRollOff90_0_sma-related features at low level.",0.0,0.13666666666666666,0.2033203098945021,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_spectralRollOff90_0_sma-related features at medium level.",0.0,0.11,0.2033203098945021,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_spectralRollOff90_0_sma-related features at high level.",0.0,0.08333333333333333,0.2033203098945021,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_spectralRollOff90_0_sma-related features at low level.",0.6837932433124839,0.023333333333333334,0.016555573561073875,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_spectralRollOff90_0_sma-related features at medium level.",1.0,0.023333333333333334,0.016555573561073875,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftMag_spectralRollOff90_0_sma-related features at high level.",0.0,0.006666666666666667,0.016555573561073875,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_spectralRollOff90_0_sma-related features at low level.",0.0,0.36666666666666664,0.7767907832110907,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_spectralRollOff90_0_sma-related features at medium level.",0.0,0.39,0.7767907832110907,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftMag_spectralRollOff90_0_sma-related features at high level.",0.0,0.4166666666666667,0.7767907832110907,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftmag_spectralflux_sma-related features at low level.",0.0,0.2733333333333333,0.7340384746857505,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftmag_spectralflux_sma-related features at medium level.",0.0,0.4866666666666667,0.7340384746857505,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftmag_spectralflux_sma-related features at high level.",0.4730955989449527,0.49666666666666665,0.7340384746857505,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftmag_spectralflux_sma-related features at low level.",1.0,0.13333333333333333,0.06385802088731884,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftmag_spectralflux_sma-related features at medium level.",0.0,0.056666666666666664,0.06385802088731884,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftmag_spectralflux_sma-related features at high level.",0.0,0.0,0.06385802088731884,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftmag_spectralflux_sma-related features at low level.",1.0,0.22666666666666666,0.19877017109359738,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftmag_spectralflux_sma-related features at medium level.",0.0,0.01,0.19877017109359738,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftmag_spectralflux_sma-related features at high level.",0.0,0.0,0.19877017109359738,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftmag_spectralcentroid_sma-related features at low level.",0.0,0.0,0.3067837742122028,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftmag_spectralcentroid_sma-related features at medium level.",0.0,0.06666666666666667,0.3067837742122028,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftmag_spectralcentroid_sma-related features at high level.",1.0,0.31333333333333335,0.3067837742122028,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftmag_spectralcentroid_sma-related features at low level.",0.0,0.0,0.01897218765679295,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftmag_spectralcentroid_sma-related features at medium level.",0.2837657163970953,0.043333333333333335,0.01897218765679295,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftmag_spectralcentroid_sma-related features at high level.",1.0,0.043333333333333335,0.01897218765679295,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftmag_spectralcentroid_sma-related features at low level.",0.6321164983037809,0.49666666666666665,0.670910704797671,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftmag_spectralcentroid_sma-related features at medium level.",0.0,0.43666666666666665,0.670910704797671,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftmag_spectralcentroid_sma-related features at high level.",0.0,0.18333333333333332,0.670910704797671,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftmag_spectralmaxpos_sma-related features at low level.",1.0,0.38,0.3918292448863648,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftmag_spectralmaxpos_sma-related features at medium level.",0.0,0.16666666666666666,0.3918292448863648,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftmag_spectralmaxpos_sma-related features at high level.",0.0,0.15,0.3918292448863648,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftmag_spectralmaxpos_sma-related features at low level.",1.0,0.043333333333333335,0.026610645138386083,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftmag_spectralmaxpos_sma-related features at medium level.",0.0,0.02666666666666667,0.026610645138386083,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftmag_spectralmaxpos_sma-related features at high level.",0.0,0.013333333333333334,0.026610645138386083,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftmag_spectralmaxpos_sma-related features at low level.",0.0,0.16666666666666666,0.5782267766419158,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftmag_spectralmaxpos_sma-related features at medium level.",0.0,0.33666666666666667,0.5782267766419158,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftmag_spectralmaxpos_sma-related features at high level.",1.0,0.5733333333333334,0.5782267766419158,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftmag_spectralminpos_sma-related features at low level.",0.8779584525277697,0.5,0.6461757583036266,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftmag_spectralminpos_sma-related features at medium level.",0.0,0.4166666666666667,0.6461757583036266,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftmag_spectralminpos_sma-related features at high level.",0.0,0.17,0.6461757583036266,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftmag_spectralminpos_sma-related features at low level.",0.0,0.03333333333333333,0.034646366375679506,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftmag_spectralminpos_sma-related features at medium level.",1.0,0.08666666666666667,0.034646366375679506,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_fftmag_spectralminpos_sma-related features at high level.",0.0,0.05333333333333334,0.034646366375679506,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftmag_spectralminpos_sma-related features at low level.",0.0,0.0033333333333333335,0.3125112086540271,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftmag_spectralminpos_sma-related features at medium level.",0.0,0.14666666666666667,0.3125112086540271,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_fftmag_spectralminpos_sma-related features at high level.",1.0,0.3233333333333333,0.3125112086540271,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have f0final_sma-related features at low level.",0.0,0.09,0.5544368341335822,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have f0final_sma-related features at medium level.",0.0,0.32666666666666666,0.5544368341335822,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have f0final_sma-related features at high level.",1.0,0.5366666666666666,0.5544368341335822,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have f0final_sma-related features at low level.",0.0,0.01,0.008103079823778085,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have f0final_sma-related features at medium level.",1.0,0.016666666666666666,0.008103079823778085,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have f0final_sma-related features at high level.",0.0,0.016666666666666666,0.008103079823778085,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have f0final_sma-related features at low level.",1.0,0.4166666666666667,0.43412675270930623,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have f0final_sma-related features at medium level.",0.0,0.18333333333333332,0.43412675270930623,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have f0final_sma-related features at high level.",0.0,0.08,0.43412675270930623,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have voicingfinalunclipped_sma-related features at low level.",0.0,0.7033333333333334,0.91,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have voicingfinalunclipped_sma-related features at medium level.",0.0,0.0,0.91,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have voicingfinalunclipped_sma-related features at high level.",1.0,0.86,0.91,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have voicingfinalunclipped_sma-related features at low level.",0.0,0.0,0.0,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have voicingfinalunclipped_sma-related features at medium level.",0.0,0.0,0.0,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have voicingfinalunclipped_sma-related features at high level.",0.0,0.0,0.0,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have voicingfinalunclipped_sma-related features at low level.",1.0,0.08333333333333333,0.08666666666666667,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have voicingfinalunclipped_sma-related features at medium level.",0.0,0.0,0.08666666666666667,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have voicingfinalunclipped_sma-related features at high level.",0.0,0.02666666666666667,0.08666666666666667,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have jitterlocal_sma-related features at low level.",1.0,0.65,0.854188079061758,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have jitterlocal_sma-related features at medium level.",0.0,0.0,0.854188079061758,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have jitterlocal_sma-related features at high level.",0.0,0.79,0.854188079061758,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have jitterlocal_sma-related features at low level.",1.0,0.04666666666666667,0.027245955416861662,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have jitterlocal_sma-related features at medium level.",0.0,0.0,0.027245955416861662,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have jitterlocal_sma-related features at high level.",0.0,0.03666666666666667,0.027245955416861662,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have jitterlocal_sma-related features at low level.",1.0,0.13,0.11523263218804701,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have jitterlocal_sma-related features at medium level.",0.0,0.0,0.11523263218804701,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have jitterlocal_sma-related features at high level.",0.0,0.07666666666666666,0.11523263218804701,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have jitterddp_sma-related features at low level.",0.0,0.8,0.8763138100861867,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have jitterddp_sma-related features at medium level.",0.0,0.0,0.8763138100861867,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have jitterddp_sma-related features at high level.",1.0,0.79,0.8763138100861867,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have jitterddp_sma-related features at low level.",0.0,0.02,0.013334533396029953,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have jitterddp_sma-related features at medium level.",0.0,0.0,0.013334533396029953,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have jitterddp_sma-related features at high level.",1.0,0.023333333333333334,0.013334533396029953,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have jitterddp_sma-related features at low level.",0.0,0.06666666666666667,0.10701832318444979,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have jitterddp_sma-related features at medium level.",0.0,0.0,0.10701832318444979,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have jitterddp_sma-related features at high level.",1.0,0.1,0.10701832318444979,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have shimmerlocal_sma-related features at low level.",0.0,0.31333333333333335,0.6654933716915473,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have shimmerlocal_sma-related features at medium level.",0.0,0.42,0.6654933716915473,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have shimmerlocal_sma-related features at high level.",0.0,0.6466666666666666,0.6654933716915473,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have shimmerlocal_sma-related features at low level.",1.0,0.04,0.025358004129472908,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have shimmerlocal_sma-related features at medium level.",0.0,0.03,0.025358004129472908,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have shimmerlocal_sma-related features at high level.",0.0,0.03,0.025358004129472908,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have shimmerlocal_sma-related features at low level.",1.0,0.30666666666666664,0.3058152908456464,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have shimmerlocal_sma-related features at medium level.",0.0,0.20666666666666667,0.3058152908456464,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have shimmerlocal_sma-related features at high level.",0.0,0.21333333333333335,0.3058152908456464,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have loghnr_sma-related features at low level.",1.0,0.5,0.5466666666666666,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have loghnr_sma-related features at medium level.",0.0,0.3,0.5466666666666666,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have loghnr_sma-related features at high level.",0.0,0.04666666666666667,0.5466666666666666,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have loghnr_sma-related features at low level.",0.0,0.0,0.0,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have loghnr_sma-related features at medium level.",0.0,0.0,0.0,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have loghnr_sma-related features at high level.",0.0,0.0,0.0,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have loghnr_sma-related features at low level.",0.0,0.0,0.45,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have loghnr_sma-related features at medium level.",0.0,0.20333333333333334,0.45,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have loghnr_sma-related features at high level.",1.0,0.44666666666666666,0.45,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have audspec_lengthl1norm_sma-related features at low level.",0.0,0.43,0.6631689097646556,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have audspec_lengthl1norm_sma-related features at medium level.",0.0,0.41,0.6631689097646556,0
