Tresc podsumowania,Degree of Truth,Degree of Support,Degree of Focus
For almost_no patients (all states) with localjitter_high we have pitch_mean_high,0.0,0.5527584359935725,0.5302572842001033
For almost_all patients (all states) with localjitter_high we have pitch_mean_medium,0.0,0.39100160685591856,0.2684952443334988
For majority patients (all states) with localjitter_high we have pitch_mean_medium,0.0,0.39100160685591856,0.2684952443334988
For half patients in state 1 with localjitter_low we have pitch_skewness_high,1.0,0.551789077212806,0.5456837796433427
For minority patients in state 1 with localjitter_low we have pitch_mean_low,0.3197249310540282,0.532015065913371,0.5039062110001792
For almost_no patients in state 1 with localjitter_low we have pitch_mean_low,0.0,0.532015065913371,0.5039062110001792
For almost_all patients in state 2 with localjitter_low we have energy_high,0.0,0.6421052631578947,0.5491121488911698
For majority patients in state 2 with localjitter_low we have energy_high,0.29036212477746115,0.6421052631578947,0.5491121488911698
For almost_all patients (all states) with localjitter_low we have pitch_skewness_high,0.0,0.5516871987145152,0.5115120697550003
For almost_no patients in state 0 with localshimmer_high we have pitch_mean_high,0.0,0.5179153094462541,0.5666293582137962
For majority patients in state 1 with localshimmer_high we have energy_high,0.0,0.5433145009416196,0.3626800492881051
For almost_all patients in state 1 with localshimmer_high we have f0_slope_mean_high,0.0,0.5979284369114878,0.5358978654621348
For majority patients in state 1 with localshimmer_high we have f0_slope_mean_high,0.19166810596276504,0.5979284369114878,0.5358978654621348
For half patients in state 1 with localshimmer_high we have f0_slope_mean_high,1.0,0.5979284369114878,0.5358978654621348
For minority patients in state 1 with localshimmer_high we have f0_slope_mean_high,0.0,0.5979284369114878,0.5358978654621348
For majority patients in state 1 with localshimmer_high we have f0_slope_mean_medium,0.0,0.4086629001883239,0.2838497395910593
For almost_no patients in state 2 with localshimmer_high we have energy_high,0.0,0.43157894736842106,0.5491121488911698
For majority patients (all states) with localshimmer_high we have pitch_mean_high,0.0,0.5072308516336369,0.5302572842001033
For majority patients in state 0 with localshimmer_medium we have energy_medium,0.0,0.31921824104234525,0.28532646277614093
For almost_all patients in state 0 with localshimmer_medium we have localjitter_high,0.0,0.44462540716612375,0.45916652410470216
For almost_no patients (all states) with localshimmer_medium we have localshimmer_high,0.0,0.5061596143545796,0.47658746501992105
For almost_all patients (all states) with localshimmer_medium we have localshimmer_low,0.0,0.5061596143545796,0.5228769163405501
For majority patients (all states) with localshimmer_medium we have localshimmer_low,0.16845353797822224,0.5061596143545796,0.5228769163405501
For half patients (all states) with localshimmer_medium we have localshimmer_low,1.0,0.5061596143545796,0.5228769163405501
For minority patients in state 0 with localshimmer_low we have pitch_skewness_low,0.0,0.6254071661237784,0.529639217171672
For almost_no patients in state 0 with localshimmer_low we have pitch_skewness_low,0.0,0.6254071661237784,0.529639217171672
For almost_all patients in state 0 with localshimmer_low we have pitch_mean_high,0.0,0.6596091205211726,0.5666293582137962
For majority patients in state 0 with localshimmer_low we have pitch_mean_high,0.5925896401400815,0.6596091205211726,0.5666293582137962
For half patients in state 2 with localshimmer_low we have localshimmer_medium,0.0,0.4,0.20671709689173057
For majority patients in state 2 with localshimmer_low we have pitch_skewness_low,0.0,0.6631578947368421,0.48155608748583106
For majority patients in state 0 with pitch_skewness_high we have pitch_skewness_low,0.0,0.5374592833876222,0.529639217171672
For majority patients in state 1 with pitch_skewness_high we have pitch_mean_low,0.4246680211292802,0.6308851224105462,0.5039062110001792
For minority patients in state 1 with pitch_skewness_high we have pitch_mean_low,0.0,0.6308851224105462,0.5039062110001792
For almost_no patients in state 1 with pitch_skewness_high we have pitch_mean_low,0.0,0.6308851224105462,0.5039062110001792
For almost_all patients in state 2 with pitch_skewness_high we have energy_high,0.0,0.6421052631578947,0.5491121488911698
For majority patients in state 2 with pitch_skewness_high we have energy_high,0.3207832368842877,0.6421052631578947,0.5491121488911698
For half patients in state 2 with pitch_skewness_high we have localjitter_high,0.5168279443181539,0.4631578947368421,0.3370214172766726
For almost_all patients (all states) with pitch_skewness_high we have f0_slope_mean_high,0.0,0.5420460632029994,0.5170076237702093
For almost_all patients in state 1 with pitch_skewness_medium we have f0_slope_mean_high,0.0,0.371939736346516,0.5358978654621348
For majority patients in state 1 with pitch_skewness_medium we have f0_slope_mean_high,0.1979725584540949,0.371939736346516,0.5358978654621348
For half patients in state 1 with pitch_skewness_medium we have f0_slope_mean_high,1.0,0.371939736346516,0.5358978654621348
For minority patients in state 1 with pitch_skewness_medium we have f0_slope_mean_high,0.0,0.371939736346516,0.5358978654621348
For almost_no patients (all states) with pitch_skewness_medium we have pitch_mean_medium,0.0,0.2292447777182646,0.2684952443334988
For half patients in state 0 with pitch_skewness_low we have localjitter_high,1.0,0.6319218241042345,0.45916652410470216
For minority patients in state 0 with pitch_skewness_low we have localjitter_high,0.02801023278340519,0.6319218241042345,0.45916652410470216
For almost_no patients in state 0 with pitch_skewness_low we have localjitter_high,0.0,0.6319218241042345,0.45916652410470216
For almost_all patients in state 0 with pitch_skewness_low we have localjittern_medium,0.0,0.4511400651465798,0.2597759999226463
