Descr,Degree of Truth,Degree of Support,Degree of Focus
For almost_all patients in state 0 with energy_high we have localjitter_low,0.0,0.6742671009771987,0.539204811400184
For majority patients in state 0 with energy_high we have localjitter_low,0.043037894941858994,0.6742671009771987,0.539204811400184
For half patients in state 0 with energy_high we have localjitter_low,1.0,0.6742671009771987,0.539204811400184
For minority patients in state 0 with energy_high we have localjitter_low,0.0,0.6742671009771987,0.539204811400184
For almost_no patients in state 0 with energy_high we have localjitter_low,0.0,0.6742671009771987,0.539204811400184
For almost_all patients in state 0 with energy_high we have localshimmer_high,0.0,0.6465798045602605,0.4465673566376747
For majority patients in state 0 with energy_high we have localshimmer_high,0.0,0.6465798045602605,0.4465673566376747
For half patients in state 0 with energy_high we have localshimmer_high,1.0,0.6465798045602605,0.4465673566376747
For minority patients in state 0 with energy_high we have localshimmer_high,0.0,0.6465798045602605,0.4465673566376747
For almost_no patients in state 0 with energy_high we have localshimmer_high,0.0,0.6465798045602605,0.4465673566376747
For almost_all patients in state 0 with energy_high we have localshimmer_medium,0.0,0.4592833876221498,0.27105076605356154
For majority patients in state 0 with energy_high we have localshimmer_medium,0.0,0.4592833876221498,0.27105076605356154
For half patients in state 0 with energy_high we have localshimmer_medium,0.26364118010864895,0.4592833876221498,0.27105076605356154
For minority patients in state 0 with energy_high we have localshimmer_medium,0.5348460766123422,0.4592833876221498,0.27105076605356154
For almost_no patients in state 0 with energy_high we have localshimmer_medium,0.0,0.4592833876221498,0.27105076605356154
For almost_all patients in state 0 with energy_high we have localshimmer_low,0.0,0.6856677524429967,0.5518039788672112
For majority patients in state 0 with energy_high we have localshimmer_low,0.10440630901327472,0.6856677524429967,0.5518039788672112
For half patients in state 0 with energy_high we have localshimmer_low,1.0,0.6856677524429967,0.5518039788672112
For minority patients in state 0 with energy_high we have localshimmer_low,0.0,0.6856677524429967,0.5518039788672112
For almost_no patients in state 0 with energy_high we have localshimmer_low,0.0,0.6856677524429967,0.5518039788672112
For almost_all patients in state 0 with energy_high we have pitch_skewness_high,0.0,0.6498371335504886,0.47036078282832794
For majority patients in state 0 with energy_high we have pitch_skewness_high,0.0,0.6498371335504886,0.47036078282832794
For half patients in state 0 with energy_high we have pitch_skewness_high,1.0,0.6498371335504886,0.47036078282832794
For minority patients in state 0 with energy_high we have pitch_skewness_high,0.0,0.6498371335504886,0.47036078282832794
For almost_no patients in state 0 with energy_high we have pitch_skewness_high,0.0,0.6498371335504886,0.47036078282832794
For almost_all patients in state 0 with energy_high we have pitch_skewness_medium,0.0,0.4771986970684039,0.26276144342027513
For majority patients in state 0 with energy_high we have pitch_skewness_medium,0.0,0.4771986970684039,0.26276144342027513
For half patients in state 0 with energy_high we have pitch_skewness_medium,0.13802784095400053,0.4771986970684039,0.26276144342027513
For minority patients in state 0 with energy_high we have pitch_skewness_medium,0.5976527461896664,0.4771986970684039,0.26276144342027513
For almost_no patients in state 0 with energy_high we have pitch_skewness_medium,0.0,0.4771986970684039,0.26276144342027513
For almost_all patients in state 0 with energy_high we have pitch_skewness_low,0.0,0.7019543973941368,0.529639217171672
For majority patients in state 0 with energy_high we have pitch_skewness_low,0.1037024771657228,0.7019543973941368,0.529639217171672
For half patients in state 0 with energy_high we have pitch_skewness_low,1.0,0.7019543973941368,0.529639217171672
For minority patients in state 0 with energy_high we have pitch_skewness_low,0.0,0.7019543973941368,0.529639217171672
For almost_no patients in state 0 with energy_high we have pitch_skewness_low,0.0,0.7019543973941368,0.529639217171672
For almost_all patients in state 0 with energy_high we have pitch_mean_high,0.0,0.6710097719869706,0.5666293582137962
For majority patients in state 0 with energy_high we have pitch_mean_high,0.0,0.6710097719869706,0.5666293582137962
For half patients in state 0 with energy_high we have pitch_mean_high,1.0,0.6710097719869706,0.5666293582137962
For minority patients in state 0 with energy_high we have pitch_mean_high,0.0,0.6710097719869706,0.5666293582137962
For almost_no patients in state 0 with energy_high we have pitch_mean_high,0.0,0.6710097719869706,0.5666293582137962
For almost_all patients in state 0 with energy_high we have pitch_mean_medium,0.0,0.44625407166123776,0.27670613328765176
For majority patients in state 0 with energy_high we have pitch_mean_medium,0.0,0.44625407166123776,0.27670613328765176
For half patients in state 0 with energy_high we have pitch_mean_medium,0.0,0.44625407166123776,0.27670613328765176
For minority patients in state 0 with energy_high we have pitch_mean_medium,0.7631314411056919,0.44625407166123776,0.27670613328765176
For almost_no patients in state 0 with energy_high we have pitch_mean_medium,0.0,0.44625407166123776,0.27670613328765176
For almost_all patients in state 0 with energy_high we have pitch_mean_low,0.0,0.6498371335504886,0.4333706417862038
For majority patients in state 0 with energy_high we have pitch_mean_low,0.007542706451261753,0.6498371335504886,0.4333706417862038
For half patients in state 0 with energy_high we have pitch_mean_low,1.0,0.6498371335504886,0.4333706417862038
For minority patients in state 0 with energy_high we have pitch_mean_low,0.0,0.6498371335504886,0.4333706417862038
For almost_no patients in state 0 with energy_high we have pitch_mean_low,0.0,0.6498371335504886,0.4333706417862038
For almost_all patients in state 1 with energy_high we have energy_medium,0.0,0.5141242937853108,0.23004214852107252
For majority patients in state 1 with energy_high we have energy_medium,0.0,0.5141242937853108,0.23004214852107252
For half patients in state 1 with energy_high we have energy_medium,0.0,0.5141242937853108,0.23004214852107252
For minority patients in state 1 with energy_high we have energy_medium,0.83071179139434,0.5141242937853108,0.23004214852107252
For almost_no patients in state 1 with energy_high we have energy_medium,0.0,0.5141242937853108,0.23004214852107252
For almost_all patients in state 1 with energy_high we have energy_low,0.0,0.5141242937853108,0.6363783311262075
For majority patients in state 1 with energy_high we have energy_low,0.0,0.5141242937853108,0.6363783311262075
For half patients in state 1 with energy_high we have energy_low,0.0,0.5141242937853108,0.6363783311262075
For minority patients in state 1 with energy_high we have energy_low,0.8835083316567518,0.5141242937853108,0.6363783311262075
For almost_no patients in state 1 with energy_high we have energy_low,0.10034999664683716,0.5141242937853108,0.6363783311262075
For almost_all patients in state 1 with energy_high we have f0_slope_mean_high,0.0,0.5461393596986818,0.5358978654621348
For majority patients in state 1 with energy_high we have f0_slope_mean_high,0.04444559201565914,0.5461393596986818,0.5358978654621348
For half patients in state 1 with energy_high we have f0_slope_mean_high,1.0,0.5461393596986818,0.5358978654621348
For minority patients in state 1 with energy_high we have f0_slope_mean_high,0.0,0.5461393596986818,0.5358978654621348
For almost_no patients in state 1 with energy_high we have f0_slope_mean_high,0.0,0.5461393596986818,0.5358978654621348
For almost_all patients in state 1 with energy_high we have f0_slope_mean_medium,0.0,0.371939736346516,0.2838497395910593
For majority patients in state 1 with energy_high we have f0_slope_mean_medium,0.0,0.371939736346516,0.2838497395910593
For half patients in state 1 with energy_high we have f0_slope_mean_medium,0.22463403466759826,0.371939736346516,0.2838497395910593
For minority patients in state 1 with energy_high we have f0_slope_mean_medium,0.5543496493328675,0.371939736346516,0.2838497395910593
For almost_no patients in state 1 with energy_high we have f0_slope_mean_medium,0.0,0.371939736346516,0.2838497395910593
For almost_all patients in state 1 with energy_high we have f0_slope_mean_low,0.0,0.5291902071563088,0.4593940366094284
For majority patients in state 1 with energy_high we have f0_slope_mean_low,0.0,0.5291902071563088,0.4593940366094284
For half patients in state 1 with energy_high we have f0_slope_mean_low,1.0,0.5291902071563088,0.4593940366094284
For minority patients in state 1 with energy_high we have f0_slope_mean_low,0.0,0.5291902071563088,0.4593940366094284
For almost_no patients in state 1 with energy_high we have f0_slope_mean_low,0.0,0.5291902071563088,0.4593940366094284
For almost_all patients in state 1 with energy_high we have localjitter_high,0.0,0.588512241054614,0.5104769023164185
For majority patients in state 1 with energy_high we have localjitter_high,0.0597120123034318,0.588512241054614,0.5104769023164185
For half patients in state 1 with energy_high we have localjitter_high,1.0,0.588512241054614,0.5104769023164185
For minority patients in state 1 with energy_high we have localjitter_high,0.0,0.588512241054614,0.5104769023164185
For almost_no patients in state 1 with energy_high we have localjitter_high,0.0,0.588512241054614,0.5104769023164185
For almost_all patients in state 1 with energy_high we have localjittern_medium,0.0,0.4096045197740113,0.26936303323545535
For majority patients in state 1 with energy_high we have localjittern_medium,0.0,0.4096045197740113,0.26936303323545535
For half patients in state 1 with energy_high we have localjittern_medium,0.1616343695963975,0.4096045197740113,0.26936303323545535
For minority patients in state 1 with energy_high we have localjittern_medium,0.5858494818684679,0.4096045197740113,0.26936303323545535
For almost_no patients in state 1 with energy_high we have localjittern_medium,0.0,0.4096045197740113,0.26936303323545535
For almost_all patients in state 1 with energy_high we have localjitter_low,0.0,0.5291902071563088,0.48858147809789415
For majority patients in state 1 with energy_high we have localjitter_low,0.0,0.5291902071563088,0.48858147809789415
For half patients in state 1 with energy_high we have localjitter_low,1.0,0.5291902071563088,0.48858147809789415
For minority patients in state 1 with energy_high we have localjitter_low,0.0,0.5291902071563088,0.48858147809789415
For almost_no patients in state 1 with energy_high we have localjitter_low,0.0,0.5291902071563088,0.48858147809789415
For almost_all patients in state 1 with energy_high we have localshimmer_high,0.0,0.5433145009416196,0.4896080841433944
For majority patients in state 1 with energy_high we have localshimmer_high,0.0,0.5433145009416196,0.4896080841433944
For half patients in state 1 with energy_high we have localshimmer_high,1.0,0.5433145009416196,0.4896080841433944
For minority patients in state 1 with energy_high we have localshimmer_high,0.0,0.5433145009416196,0.4896080841433944
For almost_no patients in state 1 with energy_high we have localshimmer_high,0.0,0.5433145009416196,0.4896080841433944
For almost_all patients in state 1 with energy_high we have localshimmer_medium,0.0,0.3728813559322034,0.2701350686291944
For majority patients in state 1 with energy_high we have localshimmer_medium,0.0,0.3728813559322034,0.2701350686291944
For half patients in state 1 with energy_high we have localshimmer_medium,0.023555901630828317,0.3728813559322034,0.2701350686291944
For minority patients in state 1 with energy_high we have localshimmer_medium,0.6548887158512525,0.3728813559322034,0.2701350686291944
For almost_no patients in state 1 with energy_high we have localshimmer_medium,0.0,0.3728813559322034,0.2701350686291944
For almost_all patients in state 1 with energy_high we have localshimmer_low,0.0,0.5376647834274952,0.5103919158566058
For majority patients in state 1 with energy_high we have localshimmer_low,0.04538180358609569,0.5376647834274952,0.5103919158566058
For half patients in state 1 with energy_high we have localshimmer_low,1.0,0.5376647834274952,0.5103919158566058
For minority patients in state 1 with energy_high we have localshimmer_low,0.0,0.5376647834274952,0.5103919158566058
For almost_no patients in state 1 with energy_high we have localshimmer_low,0.0,0.5376647834274952,0.5103919158566058
For almost_all patients in state 1 with energy_high we have pitch_skewness_high,0.0,0.5376647834274952,0.5456837796433427
For majority patients in state 1 with energy_high we have pitch_skewness_high,0.025178689098570795,0.5376647834274952,0.5456837796433427
For half patients in state 1 with energy_high we have pitch_skewness_high,1.0,0.5376647834274952,0.5456837796433427
For minority patients in state 1 with energy_high we have pitch_skewness_high,0.0,0.5376647834274952,0.5456837796433427
For almost_no patients in state 1 with energy_high we have pitch_skewness_high,0.0,0.5376647834274952,0.5456837796433427
For almost_all patients in state 1 with energy_high we have pitch_skewness_medium,0.0,0.3286252354048964,0.24660140858094134
For majority patients in state 1 with energy_high we have pitch_skewness_medium,0.0,0.3286252354048964,0.24660140858094134
For half patients in state 1 with energy_high we have pitch_skewness_medium,0.1606821646217742,0.3286252354048964,0.24660140858094134
For minority patients in state 1 with energy_high we have pitch_skewness_medium,0.5863255843557795,0.3286252354048964,0.24660140858094134
For almost_no patients in state 1 with energy_high we have pitch_skewness_medium,0.0,0.3286252354048964,0.24660140858094134
For almost_all patients in state 1 with energy_high we have pitch_skewness_low,0.0,0.4981167608286252,0.45337460077096964
For majority patients in state 1 with energy_high we have pitch_skewness_low,0.0,0.4981167608286252,0.45337460077096964
For half patients in state 1 with energy_high we have pitch_skewness_low,1.0,0.4981167608286252,0.45337460077096964
For minority patients in state 1 with energy_high we have pitch_skewness_low,0.0,0.4981167608286252,0.45337460077096964
For almost_no patients in state 1 with energy_high we have pitch_skewness_low,0.0,0.4981167608286252,0.45337460077096964
For almost_all patients in state 1 with energy_high we have pitch_mean_high,0.0,0.5178907721280602,0.4951521694141331
For majority patients in state 1 with energy_high we have pitch_mean_high,0.0,0.5178907721280602,0.4951521694141331
For half patients in state 1 with energy_high we have pitch_mean_high,1.0,0.5178907721280602,0.4951521694141331
For minority patients in state 1 with energy_high we have pitch_mean_high,0.0,0.5178907721280602,0.4951521694141331
For almost_no patients in state 1 with energy_high we have pitch_mean_high,0.0,0.5178907721280602,0.4951521694141331
For almost_all patients in state 1 with energy_high we have pitch_mean_medium,0.0,0.3418079096045198,0.2568331505350455
For majority patients in state 1 with energy_high we have pitch_mean_medium,0.0,0.3418079096045198,0.2568331505350455
For half patients in state 1 with energy_high we have pitch_mean_medium,0.0,0.3418079096045198,0.2568331505350455
For minority patients in state 1 with energy_high we have pitch_mean_medium,0.8950236496556486,0.3418079096045198,0.2568331505350455
For almost_no patients in state 1 with energy_high we have pitch_mean_medium,0.12338063264463087,0.3418079096045198,0.2568331505350455
For almost_all patients in state 1 with energy_high we have pitch_mean_low,0.0,0.5310734463276836,0.5039062110001792
For majority patients in state 1 with energy_high we have pitch_mean_low,0.027848273962482066,0.5310734463276836,0.5039062110001792
For half patients in state 1 with energy_high we have pitch_mean_low,1.0,0.5310734463276836,0.5039062110001792
For minority patients in state 1 with energy_high we have pitch_mean_low,0.0,0.5310734463276836,0.5039062110001792
For almost_no patients in state 1 with energy_high we have pitch_mean_low,0.0,0.5310734463276836,0.5039062110001792
For almost_all patients in state 2 with energy_high we have energy_medium,0.0,0.3894736842105263,0.1823455446799283
For majority patients in state 2 with energy_high we have energy_medium,0.0,0.3894736842105263,0.1823455446799283
For half patients in state 2 with energy_high we have energy_medium,0.0,0.3894736842105263,0.1823455446799283
For minority patients in state 2 with energy_high we have energy_medium,1.0,0.3894736842105263,0.1823455446799283
For almost_no patients in state 2 with energy_high we have energy_medium,0.4742613233156926,0.3894736842105263,0.1823455446799283
For almost_all patients in state 2 with energy_high we have energy_low,0.0,0.3894736842105263,0.45088785110883023
For majority patients in state 2 with energy_high we have energy_low,0.0,0.3894736842105263,0.45088785110883023
For half patients in state 2 with energy_high we have energy_low,0.0,0.3894736842105263,0.45088785110883023
For minority patients in state 2 with energy_high we have energy_low,1.0,0.3894736842105263,0.45088785110883023
For almost_no patients in state 2 with energy_high we have energy_low,0.6233569930738523,0.3894736842105263,0.45088785110883023
For almost_all patients in state 2 with energy_high we have f0_slope_mean_high,0.0,0.4105263157894737,0.33926712788516916
For majority patients in state 2 with energy_high we have f0_slope_mean_high,0.0,0.4105263157894737,0.33926712788516916
For half patients in state 2 with energy_high we have f0_slope_mean_high,0.08228493607636773,0.4105263157894737,0.33926712788516916
For minority patients in state 2 with energy_high we have f0_slope_mean_high,0.6255241986284827,0.4105263157894737,0.33926712788516916
For almost_no patients in state 2 with energy_high we have f0_slope_mean_high,0.0,0.4105263157894737,0.33926712788516916
For almost_all patients in state 2 with energy_high we have f0_slope_mean_medium,0.0,0.29473684210526313,0.16912943109976802
For majority patients in state 2 with energy_high we have f0_slope_mean_medium,0.0,0.29473684210526313,0.16912943109976802
For half patients in state 2 with energy_high we have f0_slope_mean_medium,0.0,0.29473684210526313,0.16912943109976802
For minority patients in state 2 with energy_high we have f0_slope_mean_medium,1.0,0.29473684210526313,0.16912943109976802
For almost_no patients in state 2 with energy_high we have f0_slope_mean_medium,0.5119505371246965,0.29473684210526313,0.16912943109976802
For almost_all patients in state 2 with energy_high we have f0_slope_mean_low,0.0,0.6421052631578947,0.6607328721148309
For majority patients in state 2 with energy_high we have f0_slope_mean_low,0.795527535298486,0.6421052631578947,0.6607328721148309
For half patients in state 2 with energy_high we have f0_slope_mean_low,0.07561159606969452,0.6421052631578947,0.6607328721148309
For minority patients in state 2 with energy_high we have f0_slope_mean_low,0.0,0.6421052631578947,0.6607328721148309
For almost_no patients in state 2 with energy_high we have f0_slope_mean_low,0.0,0.6421052631578947,0.6607328721148309
For almost_all patients in state 2 with energy_high we have localjitter_high,0.0,0.43157894736842106,0.3370214172766726
For majority patients in state 2 with energy_high we have localjitter_high,0.0,0.43157894736842106,0.3370214172766726
For half patients in state 2 with energy_high we have localjitter_high,0.28097868138230875,0.43157894736842106,0.3370214172766726
For minority patients in state 2 with energy_high we have localjitter_high,0.5261773259755123,0.43157894736842106,0.3370214172766726
For almost_no patients in state 2 with energy_high we have localjitter_high,0.0,0.43157894736842106,0.3370214172766726
For almost_all patients in state 2 with energy_high we have localjittern_medium,0.0,0.3157894736842105,0.18584291821676352
For majority patients in state 2 with energy_high we have localjittern_medium,0.0,0.3157894736842105,0.18584291821676352
For half patients in state 2 with energy_high we have localjittern_medium,0.0,0.3157894736842105,0.18584291821676352
For minority patients in state 2 with energy_high we have localjittern_medium,0.9205350611511232,0.3157894736842105,0.18584291821676352
For almost_no patients in state 2 with energy_high we have localjittern_medium,0.17440345563557996,0.3157894736842105,0.18584291821676352
For almost_all patients in state 2 with energy_high we have localjitter_low,0.0,0.6421052631578947,0.6629785827233271
For majority patients in state 2 with energy_high we have localjitter_low,0.6961806626455153,0.6421052631578947,0.6629785827233271
For half patients in state 2 with energy_high we have localjitter_low,0.27430534137563595,0.6421052631578947,0.6629785827233271
For minority patients in state 2 with energy_high we have localjitter_low,0.0,0.6421052631578947,0.6629785827233271
For almost_no patients in state 2 with energy_high we have localjitter_low,0.0,0.6421052631578947,0.6629785827233271
For almost_all patients in state 2 with energy_high we have localshimmer_high,0.0,0.43157894736842106,0.4072667911119688
For majority patients in state 2 with energy_high we have localshimmer_high,0.0,0.43157894736842106,0.4072667911119688
For half patients in state 2 with energy_high we have localshimmer_high,0.7459536917292323,0.43157894736842106,0.4072667911119688
For minority patients in state 2 with energy_high we have localshimmer_high,0.29368982080205047,0.43157894736842106,0.4072667911119688
For almost_no patients in state 2 with energy_high we have localshimmer_high,0.0,0.43157894736842106,0.4072667911119688
For almost_all patients in state 2 with energy_high we have localshimmer_medium,0.0,0.29473684210526313,0.20671709689173057
For majority patients in state 2 with energy_high we have localshimmer_medium,0.0,0.29473684210526313,0.20671709689173057
For half patients in state 2 with energy_high we have localshimmer_medium,0.0,0.29473684210526313,0.20671709689173057
For minority patients in state 2 with energy_high we have localshimmer_medium,0.9369230035682272,0.29473684210526313,0.20671709689173057
For almost_no patients in state 2 with energy_high we have localshimmer_medium,0.20717934046978806,0.29473684210526313,0.20671709689173057
For almost_all patients in state 2 with energy_high we have localshimmer_low,0.0,0.6210526315789474,0.5927332088880313
For majority patients in state 2 with energy_high we have localshimmer_low,0.46369315747205403,0.6210526315789474,0.5927332088880313
For half patients in state 2 with energy_high we have localshimmer_low,0.7392803517225583,0.6210526315789474,0.5927332088880313
For minority patients in state 2 with energy_high we have localshimmer_low,0.0,0.6210526315789474,0.5927332088880313
For almost_no patients in state 2 with energy_high we have localshimmer_low,0.0,0.6210526315789474,0.5927332088880313
For almost_all patients in state 2 with energy_high we have pitch_skewness_high,0.0,0.6421052631578947,0.5184439125141688
For majority patients in state 2 with energy_high we have pitch_skewness_high,0.2097829912101954,0.6421052631578947,0.5184439125141688
For half patients in state 2 with energy_high we have pitch_skewness_high,1.0,0.6421052631578947,0.5184439125141688
For minority patients in state 2 with energy_high we have pitch_skewness_high,0.0,0.6421052631578947,0.5184439125141688
For almost_no patients in state 2 with energy_high we have pitch_skewness_high,0.0,0.6421052631578947,0.5184439125141688
For almost_all patients in state 2 with energy_high we have pitch_skewness_medium,0.0,0.5263157894736842,0.2864058821175957
For majority patients in state 2 with energy_high we have pitch_skewness_medium,0.0,0.5263157894736842,0.2864058821175957
For half patients in state 2 with energy_high we have pitch_skewness_medium,0.48837384388259986,0.5263157894736842,0.2864058821175957
For minority patients in state 2 with energy_high we have pitch_skewness_medium,0.42247974472536665,0.5263157894736842,0.2864058821175957
For almost_no patients in state 2 with energy_high we have pitch_skewness_medium,0.0,0.5263157894736842,0.2864058821175957
For almost_all patients in state 2 with energy_high we have pitch_skewness_low,0.0,0.6421052631578947,0.48155608748583106
For majority patients in state 2 with energy_high we have pitch_skewness_low,0.0,0.6421052631578947,0.48155608748583106
For half patients in state 2 with energy_high we have pitch_skewness_low,1.0,0.6421052631578947,0.48155608748583106
For minority patients in state 2 with energy_high we have pitch_skewness_low,0.03977965454019274,0.6421052631578947,0.48155608748583106
For almost_no patients in state 2 with energy_high we have pitch_skewness_low,0.0,0.6421052631578947,0.48155608748583106
For almost_all patients in state 2 with energy_high we have pitch_mean_high,0.0,0.6,0.5841042214578406
For majority patients in state 2 with energy_high we have pitch_mean_high,0.3424967439147235,0.6,0.5841042214578406
For half patients in state 2 with energy_high we have pitch_mean_high,0.9816731788372194,0.6,0.5841042214578406
For minority patients in state 2 with energy_high we have pitch_mean_high,0.0,0.6,0.5841042214578406
For almost_no patients in state 2 with energy_high we have pitch_mean_high,0.0,0.6,0.5841042214578406
For almost_all patients in state 2 with energy_high we have pitch_mean_medium,0.0,0.30526315789473685,0.2459666115495831
For majority patients in state 2 with energy_high we have pitch_mean_medium,0.0,0.30526315789473685,0.2459666115495831
For half patients in state 2 with energy_high we have pitch_mean_medium,0.0,0.30526315789473685,0.2459666115495831
For minority patients in state 2 with energy_high we have pitch_mean_medium,1.0,0.30526315789473685,0.2459666115495831
For almost_no patients in state 2 with energy_high we have pitch_mean_medium,0.4769922421009006,0.30526315789473685,0.2459666115495831
For almost_all patients in state 2 with energy_high we have pitch_mean_low,0.0,0.4631578947368421,0.4158957785421593
For majority patients in state 2 with energy_high we have pitch_mean_low,0.0,0.4631578947368421,0.4158957785421593
For half patients in state 2 with energy_high we have pitch_mean_low,0.9883465188438921,0.4631578947368421,0.4158957785421593
For minority patients in state 2 with energy_high we have pitch_mean_low,0.1724934072447205,0.4631578947368421,0.4158957785421593
For almost_no patients in state 2 with energy_high we have pitch_mean_low,0.0,0.4631578947368421,0.4158957785421593
For almost_all patients (all states) with energy_high we have energy_medium,0.0,0.5484734868773433,0.2502082972916763
For majority patients (all states) with energy_high we have energy_medium,0.0,0.5484734868773433,0.2502082972916763
For half patients (all states) with energy_high we have energy_medium,0.0,0.5484734868773433,0.2502082972916763
For minority patients (all states) with energy_high we have energy_medium,0.8353089617322098,0.5484734868773433,0.2502082972916763
For almost_no patients (all states) with energy_high we have energy_medium,0.0042287398392702935,0.5484734868773433,0.2502082972916763
For almost_all patients (all states) with energy_high we have energy_low,0.0,0.5484734868773433,0.5766255817438077
For majority patients (all states) with energy_high we have energy_low,0.0,0.5484734868773433,0.5766255817438077
For half patients (all states) with energy_high we have energy_low,0.0,0.5484734868773433,0.5766255817438077
For minority patients (all states) with energy_high we have energy_low,0.9072891658649052,0.5484734868773433,0.5766255817438077
For almost_no patients (all states) with energy_high we have energy_low,0.14791166506314404,0.5484734868773433,0.5766255817438077
For almost_all patients (all states) with energy_high we have f0_slope_mean_high,0.0,0.576861274772362,0.5170076237702093
For majority patients (all states) with energy_high we have f0_slope_mean_high,0.0,0.576861274772362,0.5170076237702093
For half patients (all states) with energy_high we have f0_slope_mean_high,1.0,0.576861274772362,0.5170076237702093
For minority patients (all states) with energy_high we have f0_slope_mean_high,0.0,0.576861274772362,0.5170076237702093
For almost_no patients (all states) with energy_high we have f0_slope_mean_high,0.0,0.576861274772362,0.5170076237702093
For almost_all patients (all states) with energy_high we have f0_slope_mean_medium,0.0,0.387252276379218,0.26083089126071973
For majority patients (all states) with energy_high we have f0_slope_mean_medium,0.0,0.387252276379218,0.26083089126071973
For half patients (all states) with energy_high we have f0_slope_mean_medium,0.022103224623622936,0.387252276379218,0.26083089126071973
For minority patients (all states) with energy_high we have f0_slope_mean_medium,0.6556150543548551,0.387252276379218,0.26083089126071973
For almost_no patients (all states) with energy_high we have f0_slope_mean_medium,0.0,0.387252276379218,0.26083089126071973
For almost_all patients (all states) with energy_high we have f0_slope_mean_low,0.0,0.576861274772362,0.4803142830321477
For majority patients (all states) with energy_high we have f0_slope_mean_low,0.024754826758759858,0.576861274772362,0.4803142830321477
For half patients (all states) with energy_high we have f0_slope_mean_low,1.0,0.576861274772362,0.4803142830321477
For minority patients (all states) with energy_high we have f0_slope_mean_low,0.0,0.576861274772362,0.4803142830321477
For almost_no patients (all states) with energy_high we have f0_slope_mean_low,0.0,0.576861274772362,0.4803142830321477
For almost_all patients (all states) with energy_high we have localjitter_high,0.0,0.6181039100160686,0.48648000156254456
For majority patients (all states) with energy_high we have localjitter_high,0.0,0.6181039100160686,0.48648000156254456
